# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# M_bh=1.989e+39 g, Γ₀=1.375, Ṁ=5.0 M☉/yr
# L_o=2.022e+44 erg/s,  κ_es=0.34 cm²/g
# Inner BVP radius R_Edd = 8.0000e+14 cm; τ_es(R_Edd) ≈ 946.9
# r_in  (τ_es=100)  = 3.5808e+15 cm
# r_ph  (τ_es=1)    = 2.6342e+17 cm
# r_out (=10×r_ph)  = 2.6342e+18 cm
# n_cells=100, T_core=12198 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  3.25527868e+15  1.75859190e+07  1.19437630e-13  12197.8
1  3.58080655e+15  1.84342373e+07  1.19437630e-13  10000.0
2  3.82514153e+15  1.90143262e+07  9.77695690e-14  10000.0
3  4.08614862e+15  1.95864958e+07  8.31199483e-14  10000.0
4  4.36496543e+15  2.01492483e+07  7.07593698e-14  10000.0
5  4.66280720e+15  2.07012104e+07  6.03159716e-14  10000.0
6  4.98097209e+15  2.12411410e+07  5.14802856e-14  10000.0
7  5.32084684e+15  2.17679439e+07  4.39945066e-14  10000.0
8  5.68391282e+15  2.22806676e+07  3.76436547e-14  10000.0
9  6.07175247e+15  2.27785085e+07  3.22482775e-14  10000.0
10  6.48605621e+15  2.32608087e+07  2.76583952e-14  10000.0
11  6.92862981e+15  2.37270552e+07  2.37485207e-14  10000.0
12  7.40140225e+15  2.41768677e+07  2.04135198e-14  10000.0
13  7.90643414e+15  2.46099916e+07  1.75651981e-14  10000.0
14  8.44592669e+15  2.50262942e+07  1.51294740e-14  10000.0
15  9.02223131e+15  2.54257420e+07  1.30440288e-14  10000.0
16  9.63785985e+15  2.58084108e+07  1.12563694e-14  10000.0
17  1.02954956e+16  2.61744410e+07  9.72221983e-15  10000.0
18  1.09980048e+16  2.65240740e+07  8.40417148e-15  10000.0
19  1.17484496e+16  2.68575911e+07  7.27057830e-15  10000.0
20  1.25501006e+16  2.71753536e+07  6.29463117e-15  10000.0
21  1.34064520e+16  2.74777383e+07  5.45358456e-15  10000.0
22  1.43212361e+16  2.77651910e+07  4.72811327e-15  10000.0
23  1.52984403e+16  2.80381736e+07  4.10177792e-15  10000.0
24  1.63423236e+16  2.82971544e+07  3.56057140e-15  10000.0
25  1.74574359e+16  2.85426460e+07  3.09254389e-15  10000.0
26  1.86486374e+16  2.87751529e+07  2.68748935e-15  10000.0
27  1.99211202e+16  2.89951981e+07  2.33667830e-15  10000.0
28  2.12804303e+16  2.92032977e+07  2.03263877e-15  10000.0
29  2.27324924e+16  2.93999676e+07  1.76895990e-15  10000.0
30  2.42836355e+16  2.95857176e+07  1.54014226e-15  10000.0
31  2.59406202e+16  2.97610499e+07  1.34146160e-15  10000.0
32  2.77106686e+16  2.99264601e+07  1.16885188e-15  10000.0
33  2.96014956e+16  3.00824503e+07  1.01881411e-15  10000.0
34  3.16213425e+16  3.02294460e+07  8.88332294e-16  10000.0
35  3.37790129e+16  3.03679248e+07  7.74804109e-16  10000.0
36  3.60839110e+16  3.04983313e+07  6.75984565e-16  10000.0
37  3.85460831e+16  3.06211144e+07  5.89931435e-16  10000.0
38  4.11762605e+16  3.07365970e+07  5.14966910e-16  10000.0
39  4.39859071e+16  3.08452533e+07  4.49637840e-16  10000.0
40  4.69872689e+16  3.09474466e+07  3.92686655e-16  10000.0
41  5.01934275e+16  3.10434790e+07  3.43022234e-16  10000.0
42  5.36183571e+16  3.11337452e+07  2.99699810e-16  10000.0
43  5.72769854e+16  3.12185812e+07  2.61898164e-16  10000.0
44  6.11852589e+16  3.12982399e+07  2.28904875e-16  10000.0
45  6.53602120e+16  3.13730984e+07  2.00101758e-16  10000.0
46  6.98200414e+16  3.14433341e+07  1.74949959e-16  10000.0
47  7.45841856e+16  3.15093028e+07  1.52981982e-16  10000.0
48  7.96734093e+16  3.15712010e+07  1.33790835e-16  10000.0
49  8.51098943e+16  3.16292604e+07  1.17022036e-16  10000.0
50  9.09173359e+16  3.16837967e+07  1.02367496e-16  10000.0
51  9.71210460e+16  3.17349637e+07  8.95579692e-17  10000.0
52  1.03748064e+17  3.17829028e+07  7.83598306e-17  10000.0
53  1.10827274e+17  3.18278982e+07  6.85686407e-17  10000.0
54  1.18389531e+17  3.18701292e+07  6.00063736e-17  10000.0
55  1.26467796e+17  3.19096056e+07  5.25179370e-17  10000.0
