# 1D spherical import for Sirocco — pure escape velocity
# M_bh=1e6 Msun, L=L_Edd=1.439e+44, Mdot=2.5 Msun/yr
# r_in=8.0000e+14 (= 1.6e15 * Mdot/5), tau_es(r_in)=18.91
# T_eff=23701.8, T_color=49425.7, W=0.052882
# r_out=2.8607e+18, n_cells=100
# i   r(cm)   v_r(cm/s)   mass_rho(g/cm^3)   t_e(K)
88  9.87478078e+17  1.63969004e+07  8.33862799e-19  10000.0
89  1.07167038e+18  1.57396430e+07  7.37554221e-19  10000.0
90  1.16304091e+18  1.51087312e+07  6.52368987e-19  10000.0
91  1.26220168e+18  1.45031091e+07  5.77022384e-19  10000.0
92  1.36981690e+18  1.39217628e+07  5.10378081e-19  10000.0
93  1.48660738e+18  1.33637194e+07  4.51430989e-19  10000.0
94  1.61335540e+18  1.28280448e+07  3.99292104e-19  10000.0
95  1.75090995e+18  1.23138422e+07  3.53175099e-19  10000.0
96  1.90019239e+18  1.18202511e+07  3.12384466e-19  10000.0
97  2.06220265e+18  1.13464452e+07  2.76305025e-19  10000.0
98  2.23802588e+18  1.08916315e+07  2.44392648e-19  10000.0
99  2.42883978e+18  1.04550486e+07  2.16166052e-19  10000.0
100  2.63592247e+18  1.00359658e+07  1.91199541e-19  10000.0
101  2.86066101e+18  9.63368169e+06  1.69116585e-19  10000.0
