# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=20.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 5.6877e+15 cm; τ_es(R) ≈ 1454
# r_in  (τ_es=100)  = 3.7756e+16 cm
# r_ph  (τ_es=1)    = 3.1558e+18 cm
# r_out (=10×r_ph)  = 3.1558e+19 cm
# n_cells=100, T_core=3640 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
82  8.78841593e+18  1.08132503e+07  1.28464680e-19  10000.0
83  9.40008775e+18  1.08143448e+07  1.12278648e-19  10000.0
84  1.00543318e+19  1.08154394e+07  9.81319907e-20  10000.0
85  1.07541111e+19  1.08165341e+07  8.57677552e-20  10000.0
86  1.15025948e+19  1.08175521e+07  7.49613636e-20  10000.0
87  1.23031729e+19  1.08181927e+07  6.55183747e-20  10000.0
88  1.31594710e+19  1.08188333e+07  5.72657284e-20  10000.0
89  1.40753673e+19  1.08194739e+07  5.00525794e-20  10000.0
90  1.50550098e+19  1.08201146e+07  4.37479933e-20  10000.0
91  1.61028352e+19  1.08207553e+07  3.82375282e-20  10000.0
92  1.72235890e+19  1.08213961e+07  3.34211573e-20  10000.0
93  1.84223470e+19  1.08220369e+07  2.92114529e-20  10000.0
94  1.97045383e+19  1.08226777e+07  2.55319997e-20  10000.0
95  2.10759698e+19  1.08233186e+07  2.23160078e-20  10000.0
96  2.25428527e+19  1.08239595e+07  1.95050999e-20  10000.0
97  2.41118303e+19  1.08240754e+07  1.70486021e-20  10000.0
98  2.57900084e+19  1.08241110e+07  1.49020061e-20  10000.0
99  2.75849873e+19  1.08241466e+07  1.30256888e-20  10000.0
100  2.95048963e+19  1.08241822e+07  1.13856193e-20  10000.0
101  3.15584306e+19  1.08242178e+07  9.95205162e-21  10000.0
