# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.6, Γ₀=1.333333, m=0.150000, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=5.0 M☉/yr
# L_o=1.961e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 1.4219e+15 cm; τ_es(R) ≈ 82
# r_in  (R (τ_es=82<100 throughout))  = 1.4219e+15 cm
# r_ph  (τ_es=1)    = 6.1405e+16 cm
# r_out (=10×r_ph)  = 6.1405e+17 cm
# n_cells=100, T_core=19209 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
82  1.93860935e+17  1.39166379e+08  5.09505815e-18  10000.0
83  2.05988785e+17  1.39198781e+08  4.51168136e-18  10000.0
84  2.18875347e+17  1.39229360e+08  3.99515564e-18  10000.0
85  2.32568087e+17  1.39257983e+08  3.53781276e-18  10000.0
86  2.47117438e+17  1.39285096e+08  3.13286368e-18  10000.0
87  2.62576990e+17  1.39310433e+08  2.77429890e-18  10000.0
88  2.79003684e+17  1.39334358e+08  2.45679838e-18  10000.0
89  2.96458025e+17  1.39356921e+08  2.17565909e-18  10000.0
90  3.15004301e+17  1.39378169e+08  1.92670981e-18  10000.0
91  3.34710823e+17  1.39398142e+08  1.70626199e-18  10000.0
92  3.55650176e+17  1.39416921e+08  1.51105018e-18  10000.0
93  3.77899486e+17  1.39434574e+08  1.33818334e-18  10000.0
94  4.01540702e+17  1.39451147e+08  1.18510186e-18  10000.0
95  4.26660901e+17  1.39466736e+08  1.04953955e-18  10000.0
96  4.53352608e+17  1.39481439e+08  9.29489970e-19  10000.0
97  4.81714137e+17  1.39495365e+08  8.23178159e-19  10000.0
98  5.11849949e+17  1.39508461e+08  7.29030523e-19  10000.0
99  5.43871043e+17  1.39520602e+08  6.45653628e-19  10000.0
100  5.77895362e+17  1.39532254e+08  5.71815383e-19  10000.0
101  6.14048227e+17  1.39543069e+08  5.06424605e-19  10000.0
