# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.6, Γ₀=1.333333, m=0.150000, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=2.5 M☉/yr
# L_o=1.961e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 7.1096e+14 cm; τ_es(R) ≈ 58
# r_in  (R (τ_es=58<100 throughout))  = 7.1096e+14 cm
# r_ph  (τ_es=1)    = 2.1766e+16 cm
# r_out (=10×r_ph)  = 2.1766e+17 cm
# n_cells=100, T_core=27165 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  6.46327360e+14  1.11521283e+05  2.44665317e-10  27165.0
1  7.10960096e+14  1.11521283e+05  2.44665317e-10  10000.0
2  7.52843255e+14  6.36804397e+07  4.82865766e-13  10000.0
3  7.97193780e+14  8.19119090e+07  2.82416627e-13  10000.0
4  8.44157026e+14  9.40043251e+07  2.10675615e-13  10000.0
5  8.93886910e+14  1.03235448e+08  1.68036373e-13  10000.0
6  9.46546416e+14  1.10779129e+08  1.38264375e-13  10000.0
7  1.00230813e+15  1.17196997e+08  1.15818638e-13  10000.0
8  1.06135481e+15  1.22802344e+08  9.81452670e-14  10000.0
9  1.12387996e+15  1.27787934e+08  8.38448182e-14  10000.0
10  1.19008852e+15  1.32280928e+08  7.20585569e-14  10000.0
11  1.26019747e+15  1.36369726e+08  6.22161668e-14  10000.0
12  1.33443659e+15  1.40118427e+08  5.39165037e-14  10000.0
13  1.41304919e+15  1.43575130e+08  4.68650685e-14  10000.0
14  1.49629291e+15  1.46776980e+08  4.08384940e-14  10000.0
15  1.58444058e+15  1.49753410e+08  3.56630357e-14  10000.0
16  1.67778108e+15  1.52528249e+08  3.12008374e-14  10000.0
17  1.77662035e+15  1.55121160e+08  2.73407744e-14  10000.0
18  1.88128230e+15  1.57548652e+08  2.39921141e-14  10000.0
19  1.99210996e+15  1.59824794e+08  2.10799940e-14  10000.0
20  2.10946656e+15  1.61961739e+08  1.85421045e-14  10000.0
21  2.23373671e+15  1.63970109e+08  1.63262073e-14  10000.0
22  2.36532771e+15  1.65859286e+08  1.43882331e-14  10000.0
23  2.50467083e+15  1.67637626e+08  1.26908094e-14  10000.0
24  2.65222275e+15  1.69312648e+08  1.12020964e-14  10000.0
25  2.80846706e+15  1.70891141e+08  9.89486044e-15  10000.0
26  2.97391582e+15  1.72379304e+08  8.74572597e-15  10000.0
27  3.14911129e+15  1.73782790e+08  7.73456729e-15  10000.0
28  3.33462765e+15  1.75106810e+08  6.84400932e-15  10000.0
29  3.53107291e+15  1.76356174e+08  6.05901393e-15  10000.0
30  3.73909090e+15  1.77535329e+08  5.36653790e-15  10000.0
31  3.95936337e+15  1.78648418e+08  4.75524510e-15  10000.0
32  4.19261225e+15  1.79699284e+08  4.21526572e-15  10000.0
33  4.43960198e+15  1.80691525e+08  3.73799173e-15  10000.0
34  4.70114205e+15  1.81628510e+08  3.31590510e-15  10000.0
35  4.97808963e+15  1.82513383e+08  2.94242982e-15  10000.0
36  5.27135239e+15  1.83349093e+08  2.61180724e-15  10000.0
37  5.58189146e+15  1.84138422e+08  2.31898845e-15  10000.0
38  5.91072461e+15  1.84883978e+08  2.05954161e-15  10000.0
39  6.25892955e+15  1.85588196e+08  1.82957320e-15  10000.0
40  6.62764749e+15  1.86253408e+08  1.62565890e-15  10000.0
41  7.01808686e+15  1.86881769e+08  1.44478486e-15  10000.0
42  7.43152729e+15  1.87475334e+08  1.28429631e-15  10000.0
43  7.86932378e+15  1.88036044e+08  1.14185275e-15  10000.0
44  8.33291118e+15  1.88565716e+08  1.01538961e-15  10000.0
45  8.82380883e+15  1.89066068e+08  9.03084447e-16  10000.0
46  9.34362561e+15  1.89538724e+08  8.03327397e-16  10000.0
47  9.89406515e+15  1.89985217e+08  7.14695889e-16  10000.0
48  1.04769315e+16  1.90406996e+08  6.35931856e-16  10000.0
49  1.10941349e+16  1.90805427e+08  5.65922387e-16  10000.0
50  1.17476982e+16  1.91181809e+08  5.03682377e-16  10000.0
51  1.24397633e+16  1.91537327e+08  4.48339613e-16  10000.0
52  1.31725985e+16  1.91873176e+08  3.99121313e-16  10000.0
53  1.39486055e+16  1.92190418e+08  3.55342731e-16  10000.0
54  1.47703277e+16  1.92490080e+08  3.16396737e-16  10000.0
55  1.56404581e+16  1.92773153e+08  2.81744984e-16  10000.0
56  1.65618485e+16  1.93040532e+08  2.50909868e-16  10000.0
57  1.75375186e+16  1.93293107e+08  2.23467517e-16  10000.0
58  1.85706661e+16  1.93531676e+08  1.99041769e-16  10000.0
59  1.96646771e+16  1.93757004e+08  1.77298566e-16  10000.0
60  2.08231371e+16  1.93969852e+08  1.57941286e-16  10000.0
61  2.20498427e+16  1.94170918e+08  1.40706390e-16  10000.0
62  2.33488144e+16  1.94360802e+08  1.25359749e-16  10000.0
63  2.47243095e+16  1.94540185e+08  1.11693283e-16  10000.0
64  2.61808359e+16  1.94709571e+08  9.95220283e-17  10000.0
65  2.77231674e+16  1.94869585e+08  8.86815585e-17  10000.0
66  2.93563586e+16  1.95020736e+08  7.90256457e-17  10000.0
67  3.10857623e+16  1.95163467e+08  7.04242521e-17  10000.0
68  3.29170464e+16  1.95298294e+08  6.27617220e-17  10000.0
69  3.48562128e+16  1.95425633e+08  5.59351463e-17  10000.0
70  3.69096168e+16  1.95545943e+08  4.98529802e-17  10000.0
71  3.90839882e+16  1.95659509e+08  4.44337354e-17  10000.0
72  4.13864534e+16  1.95766792e+08  3.96049205e-17  10000.0
73  4.38245585e+16  1.95868142e+08  3.53019870e-17  10000.0
74  4.64062940e+16  1.95963825e+08  3.14674870e-17  10000.0
75  4.91401214e+16  1.96054228e+08  2.80502905e-17  10000.0
76  5.20350005e+16  1.96139567e+08  2.50048394e-17  10000.0
77  5.51004189e+16  1.96220187e+08  2.22905946e-17  10000.0
78  5.83464233e+16  1.96296341e+08  1.98714510e-17  10000.0
79  6.17836521e+16  1.96368307e+08  1.77152486e-17  10000.0
80  6.54233704e+16  1.96436156e+08  1.57933404e-17  10000.0
81  6.92775072e+16  1.96500365e+08  1.40802180e-17  10000.0
82  7.33586938e+16  1.96560896e+08  1.25531547e-17  10000.0
83  7.76803060e+16  1.96618087e+08  1.11919103e-17  10000.0
84  8.22565074e+16  1.96672115e+08  9.97844249e-18  10000.0
85  8.71022960e+16  1.96723147e+08  8.89668336e-18  10000.0
86  9.22335535e+16  1.96771374e+08  7.93231493e-18  10000.0
87  9.76670969e+16  1.96816908e+08  7.07257813e-18  10000.0
88  1.03420734e+17  1.96859819e+08  6.30611148e-18  10000.0
89  1.09513322e+17  1.96900517e+08  5.62277649e-18  10000.0
90  1.15964829e+17  1.96938741e+08  5.01354719e-18  10000.0
91  1.22796399e+17  1.96975011e+08  4.47037793e-18  10000.0
92  1.30030421e+17  1.97009209e+08  3.98609945e-18  10000.0
