# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.9, Γ₀=1.222222, m=0.163636, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=5.0 M☉/yr
# L_o=1.798e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 1.4219e+15 cm; τ_es(R) ≈ 321
# r_in  (τ_es=100)  = 3.1676e+15 cm
# r_ph  (τ_es=1)    = 2.3317e+17 cm
# r_out (=10×r_ph)  = 2.3317e+18 cm
# n_cells=100, T_core=12593 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  2.87964290e+15  1.98894195e+07  1.34959583e-13  12592.7
1  3.16760719e+15  2.08469241e+07  1.34959583e-13  10000.0
2  3.38376976e+15  2.15017116e+07  1.10483054e-13  10000.0
3  3.61468361e+15  2.21475432e+07  9.39324315e-14  10000.0
4  3.86135539e+15  2.27827360e+07  7.99670544e-14  10000.0
5  4.12486044e+15  2.34057449e+07  6.81671069e-14  10000.0
6  4.40634750e+15  2.40151749e+07  5.81831691e-14  10000.0
7  4.70704368e+15  2.46097914e+07  4.97241424e-14  10000.0
8  5.02825985e+15  2.51885231e+07  4.25472660e-14  10000.0
9  5.37139633e+15  2.57504669e+07  3.64498753e-14  10000.0
10  5.73794898e+15  2.62948844e+07  3.12625842e-14  10000.0
11  6.12951578e+15  2.68211930e+07  2.68436505e-14  10000.0
12  6.54780371e+15  2.73289664e+07  2.30743176e-14  10000.0
13  6.99463629e+15  2.78179193e+07  1.98549544e-14  10000.0
14  7.47196143e+15  2.82878964e+07  1.71018664e-14  10000.0
15  7.98186000e+15  2.87388636e+07  1.47446461e-14  10000.0
16  8.52655486e+15  2.91708997e+07  1.27239828e-14  10000.0
17  9.10842057e+15  2.95841730e+07  1.09898416e-14  10000.0
18  9.72999372e+15  2.99789416e+07  9.49995208e-15  10000.0
19  1.03939840e+16  3.03555363e+07  8.21855373e-15  10000.0
20  1.11032861e+16  3.07143449e+07  7.11534648e-15  10000.0
21  1.18609920e+16  3.10558114e+07  6.16462447e-15  10000.0
22  1.26704050e+16  3.13804242e+07  5.34454603e-15  10000.0
23  1.35350537e+16  3.16887004e+07  4.63652904e-15  10000.0
24  1.44587074e+16  3.19811824e+07  4.02474145e-15  10000.0
25  1.54453926e+16  3.22584378e+07  3.49567703e-15  10000.0
26  1.64994109e+16  3.25210374e+07  3.03779898e-15  10000.0
27  1.76253570e+16  3.27695676e+07  2.64124059e-15  10000.0
28  1.88281395e+16  3.30046155e+07  2.29755203e-15  10000.0
29  2.01130017e+16  3.32267515e+07  1.99949003e-15  10000.0
30  2.14855451e+16  3.34365630e+07  1.74083717e-15  10000.0
31  2.29517530e+16  3.36346162e+07  1.51625108e-15  10000.0
32  2.45180172e+16  3.38214685e+07  1.32113751e-15  10000.0
