# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=5.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 1.4219e+15 cm; τ_es(R) ≈ 727
# r_in  (τ_es=100)  = 5.3760e+15 cm
# r_ph  (τ_es=1)    = 3.9534e+17 cm
# r_out (=10×r_ph)  = 3.9534e+18 cm
# n_cells=100, T_core=9647 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  4.88731676e+15  1.16991577e+07  7.96405324e-14  9647.4
1  5.37604844e+15  1.22664381e+07  7.96405324e-14  10000.0
2  5.74285986e+15  1.26543714e+07  6.51799049e-14  10000.0
3  6.13469907e+15  1.30370310e+07  5.54056610e-14  10000.0
4  6.55327374e+15  1.34134062e+07  4.71602100e-14  10000.0
5  7.00040804e+15  1.37825694e+07  4.01949126e-14  10000.0
6  7.47805061e+15  1.41436829e+07  3.43028886e-14  10000.0
7  7.98828307e+15  1.44960065e+07  2.93118458e-14  10000.0
8  8.53332902e+15  1.48388977e+07  2.50781409e-14  10000.0
9  9.11556383e+15  1.51718168e+07  2.14818965e-14  10000.0
10  9.73752492e+15  1.54943214e+07  1.84229508e-14  10000.0
11  1.04019228e+16  1.58060634e+07  1.58175126e-14  10000.0
12  1.11116531e+16  1.61067908e+07  1.35954046e-14  10000.0
13  1.18698087e+16  1.63963340e+07  1.16977641e-14  10000.0
14  1.26796937e+16  1.66745994e+07  1.00751594e-14  10000.0
15  1.35448378e+16  1.69415742e+07  8.68601579e-15  10000.0
16  1.44690113e+16  1.71973037e+07  7.49532394e-15  10000.0
17  1.54562417e+16  1.74418890e+07  6.47355346e-15  10000.0
18  1.65108315e+16  1.76754868e+07  5.59576286e-15  10000.0
19  1.76373767e+16  1.78982978e+07  4.84085758e-15  10000.0
20  1.88407869e+16  1.81105569e+07  4.19096568e-15  10000.0
21  2.01263065e+16  1.83125256e+07  3.63092923e-15  10000.0
22  2.14995380e+16  1.85044989e+07  3.14787144e-15  10000.0
23  2.29664660e+16  1.86867858e+07  2.73083564e-15  10000.0
24  2.45334835e+16  1.88597130e+07  2.37049214e-15  10000.0
25  2.62074197e+16  1.90236175e+07  2.05887965e-15  10000.0
26  2.79955697e+16  1.91788352e+07  1.78920014e-15  10000.0
27  2.99057263e+16  1.93257196e+07  1.55564046e-15  10000.0
28  3.19462143e+16  1.94646216e+07  1.35322086e-15  10000.0
29  3.41259261e+16  1.95958727e+07  1.17767544e-15  10000.0
30  3.64543611e+16  1.97198418e+07  1.02534064e-15  10000.0
31  3.89416668e+16  1.98368442e+07  8.93069791e-16  10000.0
32  4.15986831e+16  1.99472100e+07  7.78156941e-16  10000.0
33  4.44369894e+16  2.00512857e+07  6.78271294e-16  10000.0
34  4.74689552e+16  2.01493559e+07  5.91404910e-16  10000.0
35  5.07077941e+16  2.02417470e+07  5.15825582e-16  10000.0
36  5.41676212e+16  2.03287478e+07  4.50038119e-16  10000.0
37  5.78635147e+16  2.04106230e+07  3.92749780e-16  10000.0
38  6.18115814e+16  2.04876831e+07  3.42843102e-16  10000.0
39  6.60290274e+16  2.05601489e+07  2.99351271e-16  10000.0
40  7.05342326e+16  2.06282856e+07  2.61436838e-16  10000.0
41  7.53468310e+16  2.06923447e+07  2.28373243e-16  10000.0
42  8.04877963e+16  2.07525492e+07  1.99531588e-16  10000.0
43  8.59795331e+16  2.08091230e+07  1.74365545e-16  10000.0
44  9.18459747e+16  2.08622585e+07  1.52400349e-16  10000.0
45  9.81126877e+16  2.09121602e+07  1.33224504e-16  10000.0
46  1.04806983e+17  2.09589932e+07  1.16479589e-16  10000.0
47  1.11958034e+17  2.10029749e+07  1.01854347e-16  10000.0
48  1.19597007e+17  2.10442414e+07  8.90775167e-17  10000.0
49  1.27757191e+17  2.10829755e+07  7.79134501e-17  10000.0
50  1.36474151e+17  2.11193224e+07  6.81568593e-17  10000.0
51  1.45785874e+17  2.11534522e+07  5.96287995e-17  10000.0
52  1.55732943e+17  2.11853917e+07  5.21732577e-17  10000.0
53  1.66358707e+17  2.12154034e+07  4.56544432e-17  10000.0
54  1.77709474e+17  2.12435594e+07  3.99537707e-17  10000.0
55  1.89834712e+17  2.12699256e+07  3.49679952e-17  10000.0
56  2.02787263e+17  2.12946547e+07  3.06068824e-17  10000.0
57  2.16623575e+17  2.13177998e+07  2.67917545e-17  10000.0
58  2.31403948e+17  2.13395117e+07  2.34538692e-17  10000.0
59  2.47192796e+17  2.13599431e+07  2.05331684e-17  10000.0
60  2.64058927e+17  2.13789585e+07  1.79773267e-17  10000.0
61  2.82075847e+17  2.13968804e+07  1.57405305e-17  10000.0
62  3.01322072e+17  2.14136484e+07  1.37828358e-17  10000.0
63  3.21881481e+17  2.14293137e+07  1.20692159e-17  10000.0
64  3.43843672e+17  2.14440164e+07  1.05691501e-17  10000.0
65  3.67304359e+17  2.14577992e+07  9.25594594e-18  10000.0
66  3.92365784e+17  2.14707110e+07  8.10626420e-18  10000.0
67  4.19137167e+17  2.14828081e+07  7.09966311e-18  10000.0
68  4.47735179e+17  2.14941556e+07  6.21830096e-18  10000.0
69  4.78284453e+17  2.15048297e+07  5.44654405e-18  10000.0
