# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.9, Γ₀=1.222222, m=0.163636, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=10.0 M☉/yr
# L_o=1.798e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 2.8438e+15 cm; τ_es(R) ≈ 455
# r_in  (τ_es=100)  = 8.3419e+15 cm
# r_ph  (τ_es=1)    = 6.5867e+17 cm
# r_out (=10×r_ph)  = 6.5867e+18 cm
# n_cells=100, T_core=7760 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  7.58354177e+15  1.59869136e+07  4.86139132e-14  7759.8
1  8.34189595e+15  1.66235907e+07  4.86139132e-14  10000.0
2  8.91741176e+15  1.70573220e+07  4.00310393e-14  10000.0
3  9.53263299e+15  1.74802079e+07  3.41617098e-14  10000.0
4  1.01902990e+16  1.78914891e+07  2.91894267e-14  10000.0
5  1.08933380e+16  1.82905298e+07  2.49712144e-14  10000.0
6  1.16448803e+16  1.86768141e+07  2.13877726e-14  10000.0
7  1.24482724e+16  1.90499439e+07  1.83394367e-14  10000.0
8  1.33070912e+16  1.94096303e+07  1.57428359e-14  10000.0
9  1.42251609e+16  1.97556884e+07  1.35281367e-14  10000.0
10  1.52065691e+16  2.00880292e+07  1.16367637e-14  10000.0
11  1.62556856e+16  2.04066481e+07  1.00195156e-14  10000.0
12  1.73771818e+16  2.07116213e+07  8.63500476e-15  10000.0
13  1.85760511e+16  2.10030925e+07  7.44836563e-15  10000.0
14  1.98576316e+16  2.12812638e+07  6.43018549e-15  10000.0
15  2.12276296e+16  2.15463910e+07  5.55561260e-15  10000.0
16  2.26921452e+16  2.17987723e+07  4.80362057e-15  10000.0
17  2.42576992e+16  2.20387411e+07  4.15639252e-15  10000.0
18  2.59312623e+16  2.22666603e+07  3.59881006e-15  10000.0
19  2.77202862e+16  2.24829175e+07  3.11802636e-15  10000.0
20  2.96327367e+16  2.26879143e+07  2.70311041e-15  10000.0
21  3.16771291e+16  2.28820672e+07  2.34474795e-15  10000.0
22  3.38625662e+16  2.30657943e+07  2.03499258e-15  10000.0
23  3.61987788e+16  2.32395256e+07  1.76705598e-15  10000.0
24  3.86961691e+16  2.34036869e+07  1.53513224e-15  10000.0
25  4.13658568e+16  2.35587010e+07  1.33424972e-15  10000.0
26  4.42197290e+16  2.37049848e+07  1.16014601e-15  10000.0
27  4.72704927e+16  2.38429508e+07  1.00916346e-15  10000.0
28  5.05317317e+16  2.39730067e+07  8.78159194e-16  10000.0
29  5.40179668e+16  2.40955325e+07  7.64430569e-16  10000.0
30  5.77447208e+16  2.42109238e+07  6.65651047e-16  10000.0
31  6.17285874e+16  2.43195346e+07  5.79816010e-16  10000.0
