# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.6, Γ₀=1.333333, m=0.150000, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=20.0 M☉/yr
# L_o=1.961e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 5.6877e+15 cm; τ_es(R) ≈ 164
# r_in  (τ_es=100)  = 6.6846e+15 cm
# r_ph  (τ_es=1)    = 4.8971e+17 cm
# r_out (=10×r_ph)  = 4.8971e+18 cm
# n_cells=100, T_core=8859 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  6.07689034e+15  2.37754033e+07  8.54285074e-14  8859.2
1  6.68457938e+15  3.25642948e+07  8.54285074e-14  10000.0
2  7.14040276e+15  3.64226835e+07  6.06940713e-14  10000.0
3  7.62730887e+15  3.94719741e+07  4.84349561e-14  10000.0
4  8.14741725e+15  4.20131429e+07  3.95664428e-14  10000.0
5  8.70299197e+15  4.42009969e+07  3.27871129e-14  10000.0
6  9.29645149e+15  4.61257928e+07  2.74327418e-14  10000.0
7  9.93037918e+15  4.78448342e+07  2.31132215e-14  10000.0
8  1.06075346e+16  4.93968686e+07  1.95769858e-14  10000.0
9  1.13308654e+16  5.08094175e+07  1.66508533e-14  10000.0
10  1.21035204e+16  5.21028331e+07  1.42098458e-14  10000.0
11  1.29288629e+16  5.32926782e+07  1.21605698e-14  10000.0
12  1.38104858e+16  5.43912034e+07  1.04313670e-14  10000.0
13  1.47522267e+16  5.54082908e+07  8.96612588e-15  10000.0
14  1.57581853e+16  5.63520901e+07  7.72020082e-15  10000.0
15  1.68327405e+16  5.72294473e+07  6.65761359e-15  10000.0
16  1.79805699e+16  5.80462074e+07  5.74906843e-15  10000.0
17  1.92066701e+16  5.88074301e+07  4.97050724e-15  10000.0
18  2.05163784e+16  5.95175544e+07  4.30203240e-15  10000.0
19  2.19153962e+16  6.01805111e+07  3.72708789e-15  10000.0
20  2.34098133e+16  6.07998110e+07  3.23182770e-15  10000.0
21  2.50061352e+16  6.13786191e+07  2.80462100e-15  10000.0
22  2.67113107e+16  6.19198021e+07  2.43566007e-15  10000.0
23  2.85327627e+16  6.24259739e+07  2.11664663e-15  10000.0
24  3.04784199e+16  6.28995247e+07  1.84053859e-15  10000.0
25  3.25567521e+16  6.33426546e+07  1.60134401e-15  10000.0
26  3.47768064e+16  6.37573926e+07  1.39395258e-15  10000.0
27  3.71482468e+16  6.41456085e+07  1.21399643e-15  10000.0
28  3.96813964e+16  6.45090438e+07  1.05773516e-15  10000.0
29  4.23872822e+16  6.48493086e+07  9.21960099e-16  10000.0
