# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.6, Γ₀=1.333333, m=0.150000, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=10.0 M☉/yr
# L_o=1.961e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 2.8438e+15 cm; τ_es(R) ≈ 116
# r_in  (τ_es=100)  = 2.8509e+15 cm
# r_ph  (τ_es=1)    = 1.7336e+17 cm
# r_out (=10×r_ph)  = 1.7336e+18 cm
# n_cells=100, T_core=13566 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  2.59173521e+15  5.57606416e+04  1.21726804e-10  13565.7
1  2.85090873e+15  8.23300330e+06  1.21726804e-10  10000.0
2  3.03964605e+15  3.36979873e+07  2.21217890e-13  10000.0
3  3.24087826e+15  4.28721035e+07  1.30983747e-13  10000.0
4  3.45543254e+15  4.89907989e+07  9.69969765e-14  10000.0
5  3.68419085e+15  5.36734960e+07  7.65487190e-14  10000.0
6  3.92809354e+15  5.75053979e+07  6.22458327e-14  10000.0
7  4.18814320e+15  6.07670677e+07  5.14983616e-14  10000.0
8  4.46540880e+15  6.36150679e+07  4.30888756e-14  10000.0
9  4.76103007e+15  6.61457685e+07  3.63393485e-14  10000.0
10  5.07622222e+15  6.84228112e+07  3.08282033e-14  10000.0
11  5.41228089e+15  7.04905397e+07  2.62726219e-14  10000.0
12  5.77058747e+15  7.23812113e+07  2.24722633e-14  10000.0
13  6.15261486e+15  7.41191443e+07  1.92794182e-14  10000.0
14  6.55993342e+15  7.57232363e+07  1.65818513e-14  10000.0
15  6.99421749e+15  7.72085592e+07  1.42922937e-14  10000.0
16  7.45725225e+15  7.85874059e+07  1.23416537e-14  10000.0
17  7.95094108e+15  7.98700085e+07  1.06744421e-14  10000.0
18  8.47731335e+15  8.10650311e+07  9.24557870e-15  10000.0
19  9.03853279e+15  8.21799182e+07  8.01809057e-15  10000.0
20  9.63690637e+15  8.32211518e+07  6.96141694e-15  10000.0
21  1.02748938e+16  8.41944396e+07  6.05012981e-15  10000.0
22  1.09551175e+16  8.51048604e+07  5.26295401e-15  10000.0
23  1.16803738e+16  8.59569647e+07  4.58200310e-15  10000.0
24  1.24536439e+16  8.67548681e+07  3.99217690e-15  10000.0
25  1.32781064e+16  8.75023043e+07  3.48068182e-15  10000.0
26  1.41571504e+16  8.82026897e+07  3.03664306e-15  10000.0
27  1.50943894e+16  8.88591543e+07  2.65079116e-15  10000.0
28  1.60936759e+16  8.94745835e+07  2.31520505e-15  10000.0
29  1.71591176e+16  9.00516418e+07  2.02310015e-15  10000.0
30  1.82950943e+16  9.05927956e+07  1.76865387e-15  10000.0
31  1.95062755e+16  9.11003403e+07  1.54685981e-15  10000.0
32  2.07976399e+16  9.15763992e+07  1.35340621e-15  10000.0
33  2.21744959e+16  9.20229633e+07  1.18457364e-15  10000.0
34  2.36425033e+16  9.24418829e+07  1.03714947e-15  10000.0
35  2.52076964e+16  9.28348826e+07  9.08355071e-16  10000.0
36  2.68765092e+16  9.32035826e+07  7.95784395e-16  10000.0
37  2.86558016e+16  9.35494923e+07  6.97351778e-16  10000.0
38  3.05528876e+16  9.38740248e+07  6.11247406e-16  10000.0
39  3.25755656e+16  9.41785083e+07  5.35899442e-16  10000.0
40  3.47321498e+16  9.44641763e+07  4.69941534e-16  10000.0
41  3.70315054e+16  9.47322025e+07  4.12185066e-16  10000.0
42  3.94830840e+16  9.49836688e+07  3.61595205e-16  10000.0
43  4.20969634e+16  9.52195954e+07  3.17270377e-16  10000.0
44  4.48838881e+16  9.54409440e+07  2.78424744e-16  10000.0
45  4.78553142e+16  9.56486173e+07  2.44372757e-16  10000.0
46  5.10234562e+16  9.58434597e+07  2.14516159e-16  10000.0
47  5.44013372e+16  9.60262570e+07  1.88332575e-16  10000.0
48  5.80028424e+16  9.61977517e+07  1.65365644e-16  10000.0
49  6.18427762e+16  9.63586422e+07  1.45216490e-16  10000.0
50  6.59369233e+16  9.65095783e+07  1.27536399e-16  10000.0
51  7.03021133e+16  9.66511870e+07  1.12020325e-16  10000.0
52  7.49562898e+16  9.67840321e+07  9.84013720e-17  10000.0
53  7.99185844e+16  9.69086583e+07  8.64458866e-17  10000.0
54  8.52093955e+16  9.70255708e+07  7.59493370e-17  10000.0
55  9.08504715e+16  9.71352546e+07  6.67325501e-17  10000.0
56  9.68650009e+16  9.72381385e+07  5.86385679e-17  10000.0
57  1.03277707e+17  9.73346660e+07  5.15298496e-17  10000.0
58  1.10114951e+17  9.74252026e+07  4.52858335e-17  10000.0
59  1.17404837e+17  9.75101438e+07  3.98008164e-17  10000.0
60  1.25177332e+17  9.75898180e+07  3.49821283e-17  10000.0
61  1.33464386e+17  9.76645543e+07  3.07484597e-17  10000.0
62  1.42300064e+17  9.77346707e+07  2.70285129e-17  10000.0
63  1.51720685e+17  9.78004388e+07  2.37597034e-17  10000.0
64  1.61764976e+17  9.78621126e+07  2.08871301e-17  10000.0
65  1.72474224e+17  9.79199936e+07  1.83625990e-17  10000.0
66  1.83892450e+17  9.79742656e+07  1.61438160e-17  10000.0
67  1.96066593e+17  9.80251951e+07  1.41936389e-17  10000.0
68  2.09046693e+17  9.80729251e+07  1.24794631e-17  10000.0
69  2.22886110e+17  9.81177497e+07  1.09726548e-17  10000.0
70  2.37641730e+17  9.81597559e+07  9.64806661e-18  10000.0
71  2.53374209e+17  9.81991726e+07  8.48361267e-18  10000.0
72  2.70148218e+17  9.82361445e+07  7.45989354e-18  10000.0
73  2.88032709e+17  9.82707938e+07  6.55986485e-18  10000.0
74  3.07101198e+17  9.83033572e+07  5.76855550e-18  10000.0
75  3.27432069e+17  9.83338344e+07  5.07280838e-18  10000.0
76  3.49108894e+17  9.83624388e+07  4.46106613e-18  10000.0
77  3.72220780e+17  9.83892764e+07  3.92316811e-18  10000.0
78  3.96862730e+17  9.84144540e+07  3.45018816e-18  10000.0
79  4.23136040e+17  9.84380940e+07  3.03428056e-18  10000.0
80  4.51148708e+17  9.84602268e+07  2.66854952e-18  10000.0
81  4.81015886e+17  9.84809802e+07  2.34693740e-18  10000.0
82  5.12860346e+17  9.85004878e+07  2.06411174e-18  10000.0
83  5.46812989e+17  9.85187557e+07  1.81539367e-18  10000.0
84  5.83013383e+17  9.85358648e+07  1.59666285e-18  10000.0
85  6.21610333e+17  9.85519534e+07  1.40430234e-18  10000.0
86  6.62762498e+17  9.85670581e+07  1.23513031e-18  10000.0
87  7.06639040e+17  9.85812198e+07  1.08634834e-18  10000.0
88  7.53420320e+17  9.85944843e+07  9.55497143e-19  10000.0
89  8.03298637e+17  9.86069036e+07  8.40414256e-19  10000.0
90  8.56479025e+17  9.86185367e+07  7.39198195e-19  10000.0
91  9.13180088e+17  9.86294514e+07  6.50176928e-19  10000.0
92  9.73634903e+17  9.86397266e+07  5.71880553e-19  10000.0
93  1.03809198e+18  9.86494548e+07  5.03016882e-19  10000.0
94  1.10681628e+18  9.86583855e+07  4.42447968e-19  10000.0
95  1.18009029e+18  9.86668250e+07  3.89173963e-19  10000.0
96  1.25821523e+18  9.86749042e+07  3.42317273e-19  10000.0
97  1.34151224e+18  9.86821882e+07  3.01103273e-19  10000.0
98  1.43032372e+18  9.86893339e+07  2.64852616e-19  10000.0
99  1.52501475e+18  9.86957088e+07  2.32967476e-19  10000.0
100  1.62597455e+18  9.87020732e+07  2.04921648e-19  10000.0
101  1.73361815e+18  9.87075954e+07  1.80252921e-19  10000.0
