# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.9, Γ₀=1.222222, m=0.163636, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=15.0 M☉/yr
# L_o=1.798e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 4.2658e+15 cm; τ_es(R) ≈ 557
# r_in  (τ_es=100)  = 1.4789e+16 cm
# r_ph  (τ_es=1)    = 1.2094e+18 cm
# r_out (=10×r_ph)  = 1.2094e+19 cm
# n_cells=100, T_core=5828 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  1.34441882e+16  1.39538360e+07  2.66440860e-14  5828.0
1  1.47886070e+16  1.44432311e+07  2.66440860e-14  10000.0
2  1.58144321e+16  1.47757675e+07  2.20153412e-14  10000.0
3  1.69114145e+16  1.50979752e+07  1.88298870e-14  10000.0
4  1.80844900e+16  1.54094766e+07  1.61242076e-14  10000.0
5  1.93389370e+16  1.57099894e+07  1.38229089e-14  10000.0
6  2.06803999e+16  1.59993193e+07  1.18629401e-14  10000.0
7  2.21149146e+16  1.62773557e+07  1.01914999e-14  10000.0
8  2.36489356e+16  1.65440640e+07  8.76430495e-15  10000.0
9  2.52893655e+16  1.67994771e+07  7.54416656e-15  10000.0
10  2.70435852e+16  1.70436895e+07  6.49980402e-15  10000.0
11  2.89194879e+16  1.72768478e+07  5.60486990e-15  10000.0
12  3.09255144e+16  1.74991444e+07  4.83713893e-15  10000.0
13  3.30706907e+16  1.77108136e+07  4.17783323e-15  10000.0
14  3.53646691e+16  1.79121182e+07  3.61106657e-15  10000.0
15  3.78177713e+16  1.81033522e+07  3.12337888e-15  10000.0
16  4.04410353e+16  1.82848253e+07  2.70334859e-15  10000.0
17  4.32462643e+16  1.84568674e+07  2.34127144e-15  10000.0
18  4.62460805e+16  1.86198210e+07  2.02889052e-15  10000.0
19  4.94539818e+16  1.87740322e+07  1.75917044e-15  10000.0
20  5.28844020e+16  1.89198516e+07  1.52610985e-15  10000.0
21  5.65527763e+16  1.90576371e+07  1.32458216e-15  10000.0
22  6.04756109e+16  1.91877410e+07  1.15020362e-15  10000.0
23  6.46705563e+16  1.93105076e+07  9.99220104e-16  10000.0
24  6.91564880e+16  1.94262841e+07  8.68414069e-16  10000.0
