# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=15.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 4.2658e+15 cm; τ_es(R) ≈ 1259
# r_in  (τ_es=100)  = 2.5087e+16 cm
# r_ph  (τ_es=1)    = 2.0505e+18 cm
# r_out (=10×r_ph)  = 2.0505e+19 cm
# n_cells=100, T_core=4466 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  2.28065097e+16  8.21708224e+06  1.57209628e-14  4466.0
1  2.50871607e+16  8.50714688e+06  1.57209628e-14  10000.0
2  2.68272111e+16  8.70421106e+06  1.29876073e-14  10000.0
3  2.86879518e+16  8.89513870e+06  1.11070533e-14  10000.0
4  3.06777538e+16  9.07970518e+06  9.51003098e-15  10000.0
5  3.28055689e+16  9.25774042e+06  8.15192498e-15  10000.0
6  3.50809697e+16  9.42912854e+06  6.99543340e-15  10000.0
7  3.75141927e+16  9.59380597e+06  6.00933010e-15  10000.0
8  4.01161845e+16  9.75175200e+06  5.16743397e-15  10000.0
9  4.28986510e+16  9.90298693e+06  4.44776352e-15  10000.0
10  4.58741099e+16  1.00475693e+07  3.83183598e-15  10000.0
11  4.90559473e+16  1.01855857e+07  3.30408599e-15  10000.0
12  5.24584775e+16  1.03171545e+07  2.85138680e-15  10000.0
13  5.60970078e+16  1.04424146e+07  2.46265128e-15  10000.0
14  5.99879074e+16  1.05615225e+07  2.12850007e-15  10000.0
15  6.41486805e+16  1.06746580e+07  1.84098898e-15  10000.0
16  6.85980457e+16  1.07820014e+07  1.59337791e-15  10000.0
17  7.33560198e+16  1.08837539e+07  1.37994041e-15  10000.0
18  7.84440078e+16  1.09801178e+07  1.19580469e-15  10000.0
19  8.38848997e+16  1.10713008e+07  1.03682168e-15  10000.0
20  8.97031730e+16  1.11575140e+07  8.99451060e-16  10000.0
21  9.59250028e+16  1.12389655e+07  7.80669474e-16  10000.0
22  1.02578380e+17  1.13158651e+07  6.77891901e-16  10000.0
23  1.09693237e+17  1.13884222e+07  5.88905053e-16  10000.0
24  1.17301581e+17  1.14568416e+07  5.11811555e-16  10000.0
25  1.25437642e+17  1.15213282e+07  4.44983545e-16  10000.0
