# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.9, Γ₀=1.222222, m=0.163636, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=2.5 M☉/yr
# L_o=1.798e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 7.1096e+14 cm; τ_es(R) ≈ 227
# r_in  (τ_es=100)  = 1.2191e+15 cm
# r_ph  (τ_es=1)    = 8.2588e+16 cm
# r_out (=10×r_ph)  = 8.2588e+17 cm
# n_cells=100, T_core=20299 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  1.10826672e+15  2.43685942e+07  3.70423189e-13  20298.6
1  1.21909340e+15  2.57376961e+07  3.70423189e-13  10000.0
2  1.30120519e+15  2.66757345e+07  3.01600246e-13  10000.0
3  1.38884760e+15  2.76119606e+07  2.55593476e-13  10000.0
4  1.48239315e+15  2.85436302e+07  2.16887991e-13  10000.0
5  1.58223944e+15  2.94680590e+07  1.84285347e-13  10000.0
6  1.68881085e+15  3.03826604e+07  1.56788871e-13  10000.0
7  1.80256037e+15  3.12849788e+07  1.33569123e-13  10000.0
8  1.92397146e+15  3.21727173e+07  1.13935319e-13  10000.0
9  2.05356016e+15  3.30437626e+07  9.73117030e-14  10000.0
10  2.19187729e+15  3.38962037e+07  8.32179761e-14  10000.0
11  2.33951074e+15  3.47283417e+07  7.12531087e-14  10000.0
12  2.49708802e+15  3.55387014e+07  6.10819191e-14  10000.0
13  2.66527887e+15  3.63260309e+07  5.24239773e-14  10000.0
14  2.84479819e+15  3.70892985e+07  4.50444007e-14  10000.0
15  3.03640900e+15  3.78276889e+07  3.87462201e-14  10000.0
16  3.24092571e+15  3.85405918e+07  3.33640673e-14  10000.0
17  3.45921761e+15  3.92275910e+07  2.87589246e-14  10000.0
