# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.6, Γ₀=1.333333, m=0.150000, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=15.0 M☉/yr
# L_o=1.961e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 4.2658e+15 cm; τ_es(R) ≈ 142
# r_in  (τ_es=100)  = 4.6081e+15 cm
# r_ph  (τ_es=1)    = 3.1823e+17 cm
# r_out (=10×r_ph)  = 3.1823e+18 cm
# n_cells=100, T_core=10670 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  4.18922171e+15  4.55283732e+04  1.94230363e-13  10670.1
1  4.60814388e+15  2.90563269e+07  1.94230363e-13  10000.0
2  4.91946815e+15  3.60589671e+07  1.00661952e-13  10000.0
3  5.25182536e+15  4.08599902e+07  7.53602687e-14  10000.0
4  5.60663649e+15  4.45788384e+07  5.96645089e-14  10000.0
5  5.98541850e+15  4.76425086e+07  4.85469123e-14  10000.0
6  6.38979088e+15  5.02610453e+07  4.01434412e-14  10000.0
7  6.82148248e+15  5.25535234e+07  3.35498293e-14  10000.0
8  7.28233898e+15  5.45940458e+07  2.82520816e-14  10000.0
9  7.77433076e+15  5.64319628e+07  2.39260753e-14  10000.0
10  8.29956129e+15  5.81018991e+07  2.03521940e-14  10000.0
11  8.86027619e+15  5.96291969e+07  1.73737588e-14  10000.0
12  9.45887274e+15  6.10330642e+07  1.48746708e-14  10000.0
13  1.00979102e+16  6.23285026e+07  1.27664073e-14  10000.0
14  1.07801208e+16  6.35275321e+07  1.09799757e-14  10000.0
15  1.15084213e+16  6.46400033e+07  9.46067569e-15  10000.0
16  1.22859254e+16  6.56741449e+07  8.16454166e-15  10000.0
17  1.31159574e+16  6.66369511e+07  7.05584624e-15  10000.0
18  1.40020660e+16  6.75344523e+07  6.10529269e-15  10000.0
19  1.49480397e+16  6.83719157e+07  5.28867631e-15  10000.0
20  1.59579230e+16  6.91539927e+07  4.58587311e-15  10000.0
