# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.9, Γ₀=1.222222, m=0.163636, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=20.0 M☉/yr
# L_o=1.798e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 5.6877e+15 cm; τ_es(R) ≈ 643
# r_in  (τ_es=100)  = 2.2259e+16 cm
# r_ph  (τ_es=1)    = 1.8613e+18 cm
# r_out (=10×r_ph)  = 1.8613e+19 cm
# n_cells=100, T_core=4750 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  2.02352135e+16  1.26203935e+07  1.73660987e-14  4750.5
1  2.22587349e+16  1.30221188e+07  1.73660987e-14  10000.0
2  2.38080430e+16  1.32945845e+07  1.43831289e-14  10000.0
3  2.54651900e+16  1.35575110e+07  1.23214016e-14  10000.0
4  2.72376819e+16  1.38107146e+07  1.05668460e-14  10000.0
5  2.91335472e+16  1.40540847e+07  9.07172873e-15  10000.0
6  3.11613733e+16  1.42875804e+07  7.79605264e-15  10000.0
7  3.33303451e+16  1.45112192e+07  6.70625523e-15  10000.0
8  3.56502872e+16  1.47250764e+07  5.77413051e-15  10000.0
9  3.81317077e+16  1.49292704e+07  4.97594028e-15  10000.0
10  4.07858463e+16  1.51239664e+07  4.29167615e-15  10000.0
11  4.36247248e+16  1.53093613e+07  3.70444792e-15  10000.0
12  4.66612021e+16  1.54856827e+07  3.19997721e-15  10000.0
13  4.99090319e+16  1.56531826e+07  2.76617573e-15  10000.0
14  5.33829252e+16  1.58121320e+07  2.39279405e-15  10000.0
15  5.70986172e+16  1.59628144e+07  2.07113005e-15  10000.0
16  6.10729380e+16  1.61055288e+07  1.79378548e-15  10000.0
17  6.53238895e+16  1.62405791e+07  1.55446090e-15  10000.0
18  6.98707263e+16  1.63682710e+07  1.34778669e-15  10000.0
19  7.47340434e+16  1.64889163e+07  1.16917900e-15  10000.0
20  7.99358693e+16  1.66028222e+07  1.01472074e-15  10000.0
21  8.54997658e+16  1.67102974e+07  8.81060044e-16  10000.0
22  9.14509344e+16  1.68116363e+07  7.65325913e-16  10000.0
23  9.78163312e+16  1.69071398e+07  6.65056094e-16  10000.0
24  1.04624788e+17  1.69970955e+07  5.78136849e-16  10000.0
25  1.11907145e+17  1.70817835e+07  5.02752045e-16  10000.0
26  1.19696386e+17  1.71614768e+07  4.37339389e-16  10000.0
27  1.28027793e+17  1.72364301e+07  3.80553826e-16  10000.0
28  1.36939104e+17  1.73069079e+07  3.31236498e-16  10000.0
29  1.46470682e+17  1.73731428e+07  2.88387978e-16  10000.0
30  1.56665701e+17  1.74353758e+07  2.51145604e-16  10000.0
31  1.67570339e+17  1.74938247e+07  2.18764480e-16  10000.0
32  1.79233989e+17  1.75487083e+07  1.90600569e-16  10000.0
33  1.91709482e+17  1.76002202e+07  1.66097004e-16  10000.0
34  2.05053325e+17  1.76485679e+07  1.44771766e-16  10000.0
35  2.19325960e+17  1.76939194e+07  1.26207475e-16  10000.0
36  2.34592034e+17  1.77364670e+07  1.10042494e-16  10000.0
37  2.50920696e+17  1.77763561e+07  9.59632980e-17  10000.0
38  2.68385906e+17  1.78137626e+07  8.36979734e-17  10000.0
39  2.87066774e+17  1.78488271e+07  7.30105086e-17  10000.0
40  3.07047914e+17  1.78816953e+07  6.36961388e-17  10000.0
41  3.28419831e+17  1.79124865e+07  5.55768574e-17  10000.0
42  3.51279330e+17  1.79413411e+07  4.84980801e-17  10000.0
43  3.75729953e+17  1.79683693e+07  4.23255181e-17  10000.0
44  4.01882450e+17  1.79936896e+07  3.69422642e-17  10000.0
45  4.29855277e+17  1.80174134e+07  3.22467210e-17  10000.0
46  4.59775140e+17  1.80396103e+07  2.81504831e-17  10000.0
47  4.91777560e+17  1.80604086e+07  2.45766142e-17  10000.0
48  5.26007493e+17  1.80798780e+07  2.14581294e-17  10000.0
49  5.62619982e+17  1.80980996e+07  1.87366880e-17  10000.0
50  6.01780866e+17  1.81151680e+07  1.63614977e-17  10000.0
51  6.43667524e+17  1.81311327e+07  1.42883212e-17  10000.0
52  6.88469682e+17  1.81460980e+07  1.24785590e-17  10000.0
53  7.36390272e+17  1.81600808e+07  1.08986247e-17  10000.0
54  7.87646350e+17  1.81731713e+07  9.51922896e-18  10000.0
55  8.42470083e+17  1.81854343e+07  8.31481455e-18  10000.0
56  9.01109794e+17  1.81968746e+07  7.26311937e-18  10000.0
57  9.63831092e+17  1.82075908e+07  6.34472172e-18  10000.0
58  1.03091808e+18  1.82176506e+07  5.54266219e-18  10000.0
59  1.10267462e+18  1.82270108e+07  4.84217926e-18  10000.0
60  1.17942573e+18  1.82357969e+07  4.23036113e-18  10000.0
61  1.26151908e+18  1.82440427e+07  3.69597843e-18  10000.0
62  1.34932648e+18  1.82517101e+07  3.22919257e-18  10000.0
63  1.44324568e+18  1.82588858e+07  2.82143801e-18  10000.0
64  1.54370208e+18  1.82656056e+07  2.46523654e-18  10000.0
65  1.65115069e+18  1.82718980e+07  2.15405898e-18  10000.0
66  1.76607822e+18  1.82777959e+07  1.88220448e-18  10000.0
67  1.88900521e+18  1.82833157e+07  1.64469525e-18  10000.0
68  2.02048848e+18  1.82884177e+07  1.43718466e-18  10000.0
69  2.16112358e+18  1.82932087e+07  1.25587706e-18  10000.0
70  2.31154751e+18  1.82977428e+07  1.09746463e-18  10000.0
71  2.47244162e+18  1.83019420e+07  9.59051003e-19  10000.0
72  2.64453469e+18  1.83058436e+07  8.38103078e-19  10000.0
73  2.82860621e+18  1.83096018e+07  7.32422771e-19  10000.0
74  3.02548994e+18  1.83129515e+07  6.40074749e-19  10000.0
75  3.23607766e+18  1.83162681e+07  5.59378285e-19  10000.0
76  3.46132324e+18  1.83191686e+07  4.88860708e-19  10000.0
77  3.70224692e+18  1.83220428e+07  4.27238670e-19  10000.0
78  3.95993998e+18  1.83246295e+07  3.73385578e-19  10000.0
79  4.23556963e+18  1.83270605e+07  3.26327357e-19  10000.0
80  4.53038435e+18  1.83294919e+07  2.85199938e-19  10000.0
81  4.84571949e+18  1.83315060e+07  2.49258511e-19  10000.0
82  5.18300339e+18  1.83334932e+07  2.17849453e-19  10000.0
83  5.54376376e+18  1.83354806e+07  1.90398250e-19  10000.0
84  5.92963468e+18  1.83371906e+07  1.66406669e-19  10000.0
85  6.34236395e+18  1.83387326e+07  1.45441305e-19  10000.0
86  6.78382104e+18  1.83402748e+07  1.27117341e-19  10000.0
87  7.25600553e+18  1.83418170e+07  1.11101989e-19  10000.0
88  7.76105618e+18  1.83432038e+07  9.71043915e-20  10000.0
89  8.30126064e+18  1.83442983e+07  8.48720898e-20  10000.0
90  8.87906575e+18  1.83453929e+07  7.41809751e-20  10000.0
91  9.49708871e+18  1.83464876e+07  6.48365920e-20  10000.0
92  1.01581288e+19  1.83475823e+07  5.66692964e-20  10000.0
93  1.08651803e+19  1.83486771e+07  4.95308137e-20  10000.0
94  1.16214458e+19  1.83496257e+07  4.32915469e-20  10000.0
95  1.24303508e+19  1.83502663e+07  3.78389942e-20  10000.0
96  1.32955592e+19  1.83509068e+07  3.30733341e-20  10000.0
97  1.42209899e+19  1.83515474e+07  2.89078887e-20  10000.0
98  1.52108349e+19  1.83521880e+07  2.52670633e-20  10000.0
99  1.62695775e+19  1.83528287e+07  2.20847844e-20  10000.0
100  1.74020133e+19  1.83534693e+07  1.93033000e-20  10000.0
101  1.86132718e+19  1.83541100e+07  1.68721316e-20  10000.0
