# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=15.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 4.2658e+15 cm; τ_es(R) ≈ 1259
# r_in  (τ_es=100)  = 2.5087e+16 cm
# r_ph  (τ_es=1)    = 2.0505e+18 cm
# r_out (=10×r_ph)  = 2.0505e+19 cm
# n_cells=300, T_core=4466 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
82  1.53391018e+17  1.16930592e+07  2.79823450e-16  10000.0
83  1.56858455e+17  1.17102783e+07  2.67190932e-16  10000.0
84  1.60404275e+17  1.17271485e+07  2.55137226e-16  10000.0
85  1.64030249e+17  1.17436854e+07  2.43634755e-16  10000.0
86  1.67738189e+17  1.17598722e+07  2.32658100e-16  10000.0
87  1.71529947e+17  1.17757351e+07  2.22182772e-16  10000.0
88  1.75407419e+17  1.17912778e+07  2.12185284e-16  10000.0
89  1.79372543e+17  1.18065045e+07  2.02643473e-16  10000.0
90  1.83427298e+17  1.18214196e+07  1.93536220e-16  10000.0
91  1.87573713e+17  1.18360236e+07  1.84843441e-16  10000.0
92  1.91813858e+17  1.18503292e+07  1.76545916e-16  10000.0
93  1.96149852e+17  1.18643419e+07  1.68625318e-16  10000.0
94  2.00583863e+17  1.18780642e+07  1.61064234e-16  10000.0
95  2.05118105e+17  1.18914996e+07  1.53846173e-16  10000.0
96  2.09754845e+17  1.19046575e+07  1.46955250e-16  10000.0
97  2.14496399e+17  1.19175450e+07  1.40376382e-16  10000.0
98  2.19345137e+17  1.19301697e+07  1.34095196e-16  10000.0
99  2.24303482e+17  1.19425349e+07  1.28097986e-16  10000.0
100  2.29373912e+17  1.19546284e+07  1.22371891e-16  10000.0
101  2.34558959e+17  1.19664800e+07  1.16904373e-16  10000.0
102  2.39861216e+17  1.19780875e+07  1.11683464e-16  10000.0
103  2.45283332e+17  1.19894407e+07  1.06698142e-16  10000.0
104  2.50828015e+17  1.20005760e+07  1.01937405e-16  10000.0
105  2.56498038e+17  1.20114531e+07  9.73911062e-17  10000.0
106  2.62296232e+17  1.20221264e+07  9.30494210e-17  10000.0
107  2.68225496e+17  1.20325526e+07  8.89030494e-17  10000.0
108  2.74288792e+17  1.20427757e+07  8.49430117e-17  10000.0
109  2.80489151e+17  1.20527793e+07  8.11609952e-17  10000.0
110  2.86829670e+17  1.20625657e+07  7.75486877e-17  10000.0
111  2.93313517e+17  1.20721586e+07  7.40985454e-17  10000.0
112  2.99943934e+17  1.20815436e+07  7.08031693e-17  10000.0
113  3.06724232e+17  1.20907207e+07  6.76554538e-17  10000.0
114  3.13657801e+17  1.20997113e+07  6.46487238e-17  10000.0
115  3.20748104e+17  1.21085175e+07  6.17767523e-17  10000.0
116  3.27998686e+17  1.21171412e+07  5.90332861e-17  10000.0
117  3.35413168e+17  1.21255644e+07  5.64125231e-17  10000.0
118  3.42995256e+17  1.21338109e+07  5.39089256e-17  10000.0
119  3.50748739e+17  1.21418846e+07  5.15172078e-17  10000.0
120  3.58677492e+17  1.21497879e+07  4.92323247e-17  10000.0
121  3.66785475e+17  1.21575237e+07  4.70494608e-17  10000.0
122  3.75076741e+17  1.21650948e+07  4.49640242e-17  10000.0
123  3.83555434e+17  1.21725045e+07  4.29716275e-17  10000.0
124  3.92225788e+17  1.21797558e+07  4.10680644e-17  10000.0
125  4.01092138e+17  1.21868523e+07  3.92493431e-17  10000.0
126  4.10158914e+17  1.21937976e+07  3.75116645e-17  10000.0
127  4.19430647e+17  1.22005955e+07  3.58513746e-17  10000.0
128  4.28911969e+17  1.22072501e+07  3.42649953e-17  10000.0
129  4.38607618e+17  1.22137658e+07  3.27492059e-17  10000.0
130  4.48522439e+17  1.22201406e+07  3.13008364e-17  10000.0
131  4.58661388e+17  1.22263605e+07  2.99168603e-17  10000.0
132  4.69029529e+17  1.22324506e+07  2.85943879e-17  10000.0
133  4.79632045e+17  1.22384160e+07  2.73306605e-17  10000.0
134  4.90474232e+17  1.22442622e+07  2.61231206e-17  10000.0
135  5.01561510e+17  1.22499925e+07  2.49691963e-17  10000.0
136  5.12899418e+17  1.22555628e+07  2.38664701e-17  10000.0
137  5.24493622e+17  1.22610256e+07  2.28126486e-17  10000.0
138  5.36349916e+17  1.22663876e+07  2.18056087e-17  10000.0
139  5.48474223e+17  1.22716316e+07  2.08432409e-17  10000.0
140  5.60872604e+17  1.22767365e+07  1.99235022e-17  10000.0
141  5.73551252e+17  1.22817550e+07  1.90445147e-17  10000.0
142  5.86516504e+17  1.22866737e+07  1.82045243e-17  10000.0
143  5.99774838e+17  1.22914500e+07  1.74016968e-17  10000.0
144  6.13332880e+17  1.22961567e+07  1.66344161e-17  10000.0
145  6.27197405e+17  1.23007487e+07  1.59011383e-17  10000.0
146  6.41375340e+17  1.23052305e+07  1.52002616e-17  10000.0
147  6.55873770e+17  1.23096594e+07  1.45304401e-17  10000.0
148  6.70699941e+17  1.23139260e+07  1.38902262e-17  10000.0
149  6.85861260e+17  1.23181532e+07  1.32783128e-17  10000.0
150  7.01365305e+17  1.23222534e+07  1.26934818e-17  10000.0
151  7.17219822e+17  1.23262877e+07  1.21344534e-17  10000.0
152  7.33432733e+17  1.23302237e+07  1.16001869e-17  10000.0
153  7.50012141e+17  1.23340775e+07  1.10894580e-17  10000.0
154  7.66966330e+17  1.23378489e+07  1.06013587e-17  10000.0
155  7.84303773e+17  1.23415361e+07  1.01347446e-17  10000.0
156  8.02033132e+17  1.23451426e+07  9.68879809e-18  10000.0
157  8.20163267e+17  1.23486783e+07  9.26247401e-18  10000.0
158  8.38703238e+17  1.23521195e+07  8.85502049e-18  10000.0
159  8.57662308e+17  1.23555203e+07  8.46549879e-18  10000.0
160  8.77049953e+17  1.23587959e+07  8.09319363e-18  10000.0
161  8.96875860e+17  1.23620723e+07  7.73728865e-18  10000.0
162  9.17149936e+17  1.23651900e+07  7.39708026e-18  10000.0
163  9.37882312e+17  1.23683005e+07  7.07188334e-18  10000.0
164  9.59083347e+17  1.23713222e+07  6.76098610e-18  10000.0
165  9.80763637e+17  1.23742663e+07  6.46384137e-18  10000.0
166  1.00293401e+18  1.23772112e+07  6.17975614e-18  10000.0
167  1.02560556e+18  1.23799927e+07  5.90819463e-18  10000.0
168  1.04878960e+18  1.23827709e+07  5.64860666e-18  10000.0
169  1.07249772e+18  1.23855052e+07  5.40042419e-18  10000.0
170  1.09674176e+18  1.23881165e+07  5.16319969e-18  10000.0
171  1.12153385e+18  1.23907284e+07  4.93641152e-18  10000.0
172  1.14688637e+18  1.23932772e+07  4.71958478e-18  10000.0
173  1.17281199e+18  1.23957219e+07  4.51233570e-18  10000.0
174  1.19932366e+18  1.23981669e+07  4.31419463e-18  10000.0
175  1.22643464e+18  1.24005635e+07  4.12475413e-18  10000.0
176  1.25415846e+18  1.24028411e+07  3.94367453e-18  10000.0
177  1.28250899e+18  1.24051190e+07  3.77055515e-18  10000.0
178  1.31150038e+18  1.24073974e+07  3.60503536e-18  10000.0
179  1.34114714e+18  1.24095117e+07  3.44680384e-18  10000.0
180  1.37146406e+18  1.24116223e+07  3.29554087e-18  10000.0
181  1.40246631e+18  1.24137332e+07  3.15091607e-18  10000.0
182  1.43416937e+18  1.24157778e+07  3.01263813e-18  10000.0
183  1.46658908e+18  1.24177205e+07  2.88046357e-18  10000.0
184  1.49974165e+18  1.24196636e+07  2.75409188e-18  10000.0
185  1.53364364e+18  1.24216070e+07  2.63326437e-18  10000.0
186  1.56831199e+18  1.24234658e+07  2.51773788e-18  10000.0
187  1.60376403e+18  1.24252408e+07  2.40731244e-18  10000.0
