# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# M_bh=1.989e+39 g, Γ₀=1.375, Ṁ=2.5 M☉/yr
# L_o=2.022e+44 erg/s,  κ_es=0.34 cm²/g
# Inner BVP radius R_Edd = 4.0000e+14 cm; τ_es(R_Edd) ≈ 669.6
# r_in  (τ_es=100)  = 1.3783e+15 cm
# r_ph  (τ_es=1)    = 9.3311e+16 cm
# r_out (=10×r_ph)  = 9.3311e+17 cm
# n_cells=100, T_core=19661 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
85  3.28878392e+17  4.57958317e+07  2.70199392e-18  10000.0
86  3.51027620e+17  4.58054983e+07  2.37126190e-18  10000.0
87  3.74668548e+17  4.58151669e+07  2.08101861e-18  10000.0
88  3.99901641e+17  4.58248010e+07  1.82630121e-18  10000.0
89  4.26834126e+17  4.58323072e+07  1.60280046e-18  10000.0
90  4.55580454e+17  4.58398146e+07  1.40668362e-18  10000.0
91  4.86262783e+17  4.58473233e+07  1.23456340e-18  10000.0
92  5.19011499e+17  4.58548332e+07  1.08350363e-18  10000.0
93  5.53965768e+17  4.58610186e+07  9.50932260e-19  10000.0
94  5.91274129e+17  4.58663523e+07  8.34616906e-19  10000.0
95  6.31095125e+17  4.58716867e+07  7.32528918e-19  10000.0
96  6.73597977e+17  4.58770216e+07  6.42928046e-19  10000.0
97  7.18963301e+17  4.58823572e+07  5.64286899e-19  10000.0
98  7.67383879e+17  4.58876934e+07  4.95264916e-19  10000.0
99  8.19065475e+17  4.58921486e+07  4.34685507e-19  10000.0
100  8.74227711e+17  4.58952756e+07  3.81532518e-19  10000.0
101  9.33105001e+17  4.58984027e+07  3.34880663e-19  10000.0
