# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=2.5 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 7.1096e+14 cm; τ_es(R) ≈ 514
# r_in  (τ_es=100)  = 2.0699e+15 cm
# r_ph  (τ_es=1)    = 1.4002e+17 cm
# r_out (=10×r_ph)  = 1.4002e+18 cm
# n_cells=100, T_core=15548 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
82  4.05933191e+17  3.05031398e+07  2.66281784e-18  10000.0
83  4.33268558e+17  3.05110114e+07  2.33676774e-18  10000.0
84  4.62444676e+17  3.05188747e+07  2.05068245e-18  10000.0
85  4.93585502e+17  3.05259797e+07  1.79963098e-18  10000.0
86  5.26823338e+17  3.05326322e+07  1.57936898e-18  10000.0
87  5.62299395e+17  3.05392861e+07  1.38606548e-18  10000.0
88  6.00164394e+17  3.05449335e+07  1.21643686e-18  10000.0
89  6.40579207e+17  3.05503731e+07  1.06759620e-18  10000.0
90  6.83715535e+17  3.05558136e+07  9.36967361e-19  10000.0
91  7.29756645e+17  3.05607619e+07  8.22321996e-19  10000.0
92  7.78898144e+17  3.05649839e+07  7.21730455e-19  10000.0
93  8.31348810e+17  3.05692065e+07  6.33446318e-19  10000.0
94  8.87331482e+17  3.05734297e+07  5.55961349e-19  10000.0
95  9.47084003e+17  3.05776535e+07  4.87954564e-19  10000.0
96  1.01086023e+18  3.05806635e+07  4.28274980e-19  10000.0
97  1.07893113e+18  3.05836615e+07  3.75902235e-19  10000.0
98  1.15158588e+18  3.05866597e+07  3.29934032e-19  10000.0
99  1.22913318e+18  3.05896582e+07  2.89587172e-19  10000.0
100  1.31190248e+18  3.05926571e+07  2.54174235e-19  10000.0
101  1.40024543e+18  3.05956562e+07  2.23091863e-19  10000.0
