# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# M_bh=1.989e+39 g, Γ₀=1.375, Ṁ=20.0 M☉/yr
# L_o=2.022e+44 erg/s,  κ_es=0.34 cm²/g
# Inner BVP radius R_Edd = 3.2000e+15 cm; τ_es(R_Edd) ≈ 1892.9
# r_in  (τ_es=100)  = 2.5158e+16 cm
# r_ph  (τ_es=1)    = 2.1020e+18 cm
# r_out (=10×r_ph)  = 2.1020e+19 cm
# n_cells=100, T_core=4602 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  2.28710763e+16  1.11630392e+07  1.53682045e-14  4601.9
1  2.51581839e+16  1.15189895e+07  1.53682045e-14  10000.0
2  2.69090760e+16  1.17603710e+07  1.27279897e-14  10000.0
3  2.87818219e+16  1.19932955e+07  1.09033784e-14  10000.0
4  3.07849023e+16  1.22176000e+07  9.35065509e-15  10000.0
5  3.29273876e+16  1.24331870e+07  8.02755889e-15  10000.0
6  3.52189800e+16  1.26400197e+07  6.89868086e-15  10000.0
7  3.76700564e+16  1.28381151e+07  5.93430841e-15  10000.0
8  4.02917164e+16  1.30275380e+07  5.10947447e-15  10000.0
9  4.30958316e+16  1.32083996e+07  4.40316643e-15  10000.0
10  4.60951001e+16  1.33808370e+07  3.79767639e-15  10000.0
11  4.93031037e+16  1.35450332e+07  3.27805547e-15  10000.0
12  5.27343694e+16  1.37011887e+07  2.83166511e-15  10000.0
13  5.64044351e+16  1.38495282e+07  2.44780995e-15  10000.0
14  6.03299202e+16  1.39902887e+07  2.11741777e-15  10000.0
15  6.45286008e+16  1.41237227e+07  1.83278815e-15  10000.0
16  6.90194899e+16  1.42500981e+07  1.58737512e-15  10000.0
17  7.38229240e+16  1.43696837e+07  1.37560371e-15  10000.0
18  7.89606546e+16  1.44827562e+07  1.19272265e-15  10000.0
19  8.44559472e+16  1.45895749e+07  1.03467589e-15  10000.0
20  9.03336865e+16  1.46904307e+07  8.97997595e-16  10000.0
21  9.66204891e+16  1.47855866e+07  7.79721361e-16  10000.0
22  1.03344824e+17  1.48753160e+07  6.77307736e-16  10000.0
23  1.10537141e+17  1.49598707e+07  5.88577836e-16  10000.0
24  1.18230009e+17  1.50395128e+07  5.11660805e-16  10000.0
25  1.26458265e+17  1.51144907e+07  4.44950522e-16  10000.0
26  1.35259170e+17  1.51850377e+07  3.87063819e-16  10000.0
27  1.44672576e+17  1.52513965e+07  3.36811316e-16  10000.0
28  1.54741111e+17  1.53137897e+07  2.93167128e-16  10000.0
29  1.65510370e+17  1.53724278e+07  2.55246856e-16  10000.0
30  1.77029118e+17  1.54275207e+07  2.22287897e-16  10000.0
31  1.89349518e+17  1.54792606e+07  1.93630393e-16  10000.0
32  2.02527359e+17  1.55278520e+07  1.68705023e-16  10000.0
33  2.16622317e+17  1.55734635e+07  1.47018540e-16  10000.0
34  2.31698219e+17  1.56162486e+07  1.28144838e-16  10000.0
35  2.47823332e+17  1.56563922e+07  1.11714530e-16  10000.0
36  2.65070678e+17  1.56940551e+07  9.74072947e-17  10000.0
37  2.83518359e+17  1.57293811e+07  8.49461555e-17  10000.0
38  3.03249912e+17  1.57624873e+07  7.40901692e-17  10000.0
39  3.24354689e+17  1.57935132e+07  6.46305758e-17  10000.0
40  3.46928260e+17  1.58226249e+07  5.63861637e-17  10000.0
41  3.71072846e+17  1.58498624e+07  4.91995359e-17  10000.0
42  3.96897782e+17  1.58754151e+07  4.29337662e-17  10000.0
43  4.24520013e+17  1.58993540e+07  3.74699652e-17  10000.0
44  4.54064623e+17  1.59217619e+07  3.27048082e-17  10000.0
45  4.85665399e+17  1.59427359e+07  2.85483692e-17  10000.0
46  5.19465442e+17  1.59623901e+07  2.49223707e-17  10000.0
47  5.55617810e+17  1.59808463e+07  2.17586641e-17  10000.0
48  5.94286213e+17  1.59980221e+07  1.89980717e-17  10000.0
49  6.35645757e+17  1.60141926e+07  1.65888994e-17  10000.0
50  6.79883732e+17  1.60292831e+07  1.44862526e-17  10000.0
51  7.27200463e+17  1.60433883e+07  1.26508720e-17  10000.0
52  7.77810218e+17  1.60566139e+07  1.10486688e-17  10000.0
53  8.31942175e+17  1.60689972e+07  9.64995884e-18  10000.0
54  8.89841463e+17  1.60805809e+07  8.42874685e-18  10000.0
55  9.51770271e+17  1.60914146e+07  7.36242740e-18  10000.0
56  1.01800904e+18  1.61015554e+07  6.43128742e-18  10000.0
57  1.08885771e+18  1.61110705e+07  5.61818105e-18  10000.0
58  1.16463712e+18  1.61200393e+07  4.90806924e-18  10000.0
59  1.24569042e+18  1.61282495e+07  4.28785908e-18  10000.0
60  1.33238465e+18  1.61359897e+07  3.74612799e-18  10000.0
61  1.42511240e+18  1.61433936e+07  3.27298131e-18  10000.0
62  1.52429356e+18  1.61500499e+07  2.85966944e-18  10000.0
63  1.63037727e+18  1.61564805e+07  2.49860616e-18  10000.0
64  1.74384391e+18  1.61623580e+07  2.18321474e-18  10000.0
65  1.86520730e+18  1.61679959e+07  1.90765352e-18  10000.0
66  1.99501702e+18  1.61730922e+07  1.66693851e-18  10000.0
67  2.13386088e+18  1.61781758e+07  1.45661143e-18  10000.0
68  2.28236763e+18  1.61824887e+07  1.27285458e-18  10000.0
69  2.44120975e+18  1.61868027e+07  1.11230537e-18  10000.0
70  2.61110654e+18  1.61908731e+07  9.72006743e-19  10000.0
71  2.79282736e+18  1.61944010e+07  8.49437948e-19  10000.0
72  2.98719510e+18  1.61979296e+07  7.42331765e-19  10000.0
73  3.19508992e+18  1.62014590e+07  6.48730670e-19  10000.0
74  3.41745325e+18  1.62042007e+07  5.66945553e-19  10000.0
75  3.65529203e+18  1.62069407e+07  4.95483196e-19  10000.0
76  3.90968327e+18  1.62096811e+07  4.33028527e-19  10000.0
77  4.18177896e+18  1.62124220e+07  3.78446144e-19  10000.0
78  4.47281124e+18  1.62145856e+07  3.30747439e-19  10000.0
79  4.78409800e+18  1.62165323e+07  2.89071556e-19  10000.0
80  5.11704887e+18  1.62184791e+07  2.52647048e-19  10000.0
81  5.47317157e+18  1.62204263e+07  2.20812217e-19  10000.0
82  5.85407874e+18  1.62223736e+07  1.92988739e-19  10000.0
83  6.26149527e+18  1.62243212e+07  1.68671162e-19  10000.0
84  6.69726608e+18  1.62256953e+07  1.47419273e-19  10000.0
85  7.16336451e+18  1.62268366e+07  1.28850090e-19  10000.0
86  7.66190121e+18  1.62279779e+07  1.12619913e-19  10000.0
87  8.19513374e+18  1.62291193e+07  9.84341161e-20  10000.0
88  8.76547676e+18  1.62302608e+07  8.60351869e-20  10000.0
89  9.37551298e+18  1.62314024e+07  7.51980479e-20  10000.0
90  1.00280049e+19  1.62325440e+07  6.57259734e-20  10000.0
91  1.07259072e+19  1.62336858e+07  5.74470176e-20  10000.0
92  1.14723802e+19  1.62348276e+07  5.02108932e-20  10000.0
