# 1D spherical import for Sirocco — pure escape velocity
# M_bh=1e6 Msun, L=L_Edd=1.439e+44, Mdot=10 Msun/yr
# r_in=3.2000e+15 (= 1.6e15 * Mdot/5), tau_es(r_in)=37.82
# T_eff=11850.9, T_color=29388.7, W=0.026441
# r_out=4.5771e+19, n_cells=100
# i   r(cm)   v_r(cm/s)   mass_rho(g/cm^3)   t_e(K)
88  1.31940962e+19  4.48575621e+06  6.90067803e-20  10000.0
89  1.45189099e+19  4.27620469e+06  5.97805930e-20  10000.0
90  1.59767476e+19  4.07644234e+06  5.17879443e-20  10000.0
91  1.75809662e+19  3.88601186e+06  4.48639106e-20  10000.0
92  1.93462637e+19  3.70447731e+06  3.88656182e-20  10000.0
93  2.12888140e+19  3.53142313e+06  3.36692959e-20  10000.0
94  2.34264149e+19  3.36645315e+06  2.91677204e-20  10000.0
95  2.57786515e+19  3.20918973e+06  2.52680043e-20  10000.0
96  2.83670751e+19  3.05927284e+06  2.18896792e-20  10000.0
97  3.12154013e+19  2.91635930e+06  1.89630352e-20  10000.0
98  3.43497268e+19  2.78012195e+06  1.64276826e-20  10000.0
99  3.77987685e+19  2.65024891e+06  1.42313061e-20  10000.0
100  4.15941271e+19  2.52644288e+06  1.23285844e-20  10000.0
101  4.57705761e+19  2.40842042e+06  1.06802561e-20  10000.0
