# 1D spherical import for Sirocco — pure escape velocity
# M_bh=1e6 Msun, L=L_Edd=1.439e+44, Mdot=20 Msun/yr
# r_in=6.4000e+15 (= 1.6e15 * Mdot/5), tau_es(r_in)=53.49
# T_eff=8379.8, T_color=22661.8, W=0.018697
# r_out=1.8308e+20, n_cells=100
# i   r(cm)   v_r(cm/s)   mass_rho(g/cm^3)   t_e(K)
0  5.81818182e+15  2.13615050e+08  1.29151665e-14  22661.8
1  6.40000000e+15  2.03673958e+08  1.29151665e-14  10000.0
2  7.09160664e+15  1.93487615e+08  1.11335073e-14  10000.0
3  7.85795074e+15  1.83810721e+08  9.54519933e-15  10000.0
4  8.70710869e+15  1.74617798e+08  8.18347964e-15  10000.0
5  9.64802966e+15  1.65884640e+08  7.01602310e-15  10000.0
6  1.06906299e+16  1.57588254e+08  6.01511610e-15  10000.0
7  1.18458972e+16  1.49706795e+08  5.15699866e-15  10000.0
8  1.31260067e+16  1.42219511e+08  4.42130039e-15  10000.0
9  1.45444494e+16  1.35106688e+08  3.79055696e-15  10000.0
10  1.61161741e+16  1.28349599e+08  3.24979548e-15  10000.0
11  1.78577449e+16  1.21930452e+08  2.78617913e-15  10000.0
12  1.97875159e+16  1.15832346e+08  2.38870236e-15  10000.0
13  2.19258249e+16  1.10039224e+08  2.04792969e-15  10000.0
14  2.42952071e+16  1.04535834e+08  1.75577171e-15  10000.0
15  2.69206331e+16  9.93076845e+07  1.50529303e-15  10000.0
16  2.98297720e+16  9.43410105e+07  1.29054768e-15  10000.0
17  3.30532826e+16  8.96227348e+07  1.10643794e-15  10000.0
18  3.66251373e+16  8.51404340e+07  9.48593322e-16  10000.0
19  4.05829792e+16  8.08823066e+07  8.13266844e-16  10000.0
20  4.49685195e+16  7.68371408e+07  6.97246064e-16  10000.0
21  4.98279768e+16  7.29942859e+07  5.97776827e-16  10000.0
22  5.52125642e+16  6.93436236e+07  5.12497887e-16  10000.0
23  6.11790292e+16  6.58755418e+07  4.39384855e-16  10000.0
24  6.77902515e+16  6.25809091e+07  3.76702140e-16  10000.0
25  7.51159059e+16  5.94510509e+07  3.22961751e-16  10000.0
26  8.32331964e+16  5.64777263e+07  2.76887975e-16  10000.0
27  9.22276700e+16  5.36531064e+07  2.37387092e-16  10000.0
28  1.02194118e+17  5.09697543e+07  2.03521410e-16  10000.0
29  1.13237576e+17  4.84206046e+07  1.74487013e-16  10000.0
30  1.25474429e+17  4.59989455e+07  1.49594667e-16  10000.0
31  1.39033640e+17  4.36984008e+07  1.28253468e-16  10000.0
32  1.54058107e+17  4.15129133e+07  1.09956807e-16  10000.0
33  1.70706171e+17  3.94367285e+07  9.42703510e-17  10000.0
34  1.89153284e+17  3.74643799e+07  8.08217273e-17  10000.0
35  2.09593856e+17  3.55906743e+07  6.92916866e-17  10000.0
36  2.32243310e+17  3.38106784e+07  5.94065233e-17  10000.0
37  2.57340344e+17  3.21197053e+07  5.09315790e-17  10000.0
38  2.85149451e+17  3.05133029e+07  4.36656716e-17  10000.0
39  3.15963710e+17  2.89872415e+07  3.74363198e-17  10000.0
40  3.50107866e+17  2.75375029e+07  3.20956483e-17  10000.0
41  3.87941761e+17  2.61602701e+07  2.75168779e-17  10000.0
42  4.29864120e+17  2.48519169e+07  2.35913156e-17  10000.0
43  4.76316757e+17  2.36089983e+07  2.02257747e-17  10000.0
44  5.27789231e+17  2.24282417e+07  1.73403624e-17  10000.0
45  5.84824002e+17  2.13065384e+07  1.48665834e-17  10000.0
46  6.48022152e+17  2.02409347e+07  1.27457142e-17  10000.0
47  7.18049718e+17  1.92286251e+07  1.09274086e-17  10000.0
48  7.95644711e+17  1.82669441e+07  9.36850267e-18  10000.0
49  8.81624893e+17  1.73533597e+07  8.03199055e-18  10000.0
50  9.76896397e+17  1.64854663e+07  6.88614547e-18  10000.0
51  1.08246328e+18  1.56609789e+07  5.90376684e-18  10000.0
52  1.19943809e+18  1.48777266e+07  5.06153450e-18  10000.0
53  1.32905361e+18  1.41336470e+07  4.33945516e-18  10000.0
54  1.47267585e+18  1.34267811e+07  3.72038778e-18  10000.0
55  1.63181841e+18  1.27552677e+07  3.18963665e-18  10000.0
56  1.80815848e+18  1.21173386e+07  2.73460257e-18  10000.0
57  2.00355448e+18  1.15113143e+07  2.34448372e-18  10000.0
58  2.22006566e+18  1.09355991e+07  2.01001929e-18  10000.0
59  2.45997381e+18  1.03886771e+07  1.72326961e-18  10000.0
60  2.72580728e+18  9.86910834e+06  1.47742769e-18  10000.0
61  3.02036766e+18  9.37552475e+06  1.26665761e-18  10000.0
62  3.34675927e+18  8.90662675e+06  1.08595603e-18  10000.0
63  3.70842192e+18  8.46117974e+06  9.31033367e-19  10000.0
64  4.10916711e+18  8.03801086e+06  7.98211995e-19  10000.0
65  4.55321825e+18  7.63600593e+06  6.84338942e-19  10000.0
66  5.04525512e+18  7.25410646e+06  5.86711037e-19  10000.0
67  5.59046323e+18  6.89130692e+06  5.03010745e-19  10000.0
68  6.19458846e+18  6.54665208e+06  4.31251150e-19  10000.0
69  6.86399760e+18  6.21923445e+06  3.69728791e-19  10000.0
70  7.60574547e+18  5.90819195e+06  3.16983221e-19  10000.0
71  8.42764923e+18  5.61270562e+06  2.71762343e-19  10000.0
72  9.33837081e+18  5.33199745e+06  2.32992683e-19  10000.0
73  1.03475082e+19  5.06532833e+06  1.99753909e-19  10000.0
74  1.14656965e+19  4.81199613e+06  1.71256984e-19  10000.0
75  1.27047203e+19  4.57133382e+06  1.46825434e-19  10000.0
76  1.40776373e+19  4.34270776e+06  1.25879294e-19  10000.0
77  1.55989166e+19  4.12551597e+06  1.07921333e-19  10000.0
78  1.72845907e+19  3.91918660e+06  9.25252584e-20  10000.0
79  1.91524247e+19  3.72317637e+06  7.93255900e-20  10000.0
80  2.12221034e+19  3.53696919e+06  6.80089884e-20  10000.0
81  2.35154390e+19  3.36007480e+06  5.83068150e-20  10000.0
82  2.60566005e+19  3.19202742e+06  4.99887553e-20  10000.0
83  2.88723689e+19  3.03238459e+06  4.28573513e-20  10000.0
84  3.19924193e+19  2.88072598e+06  3.67433146e-20  10000.0
85  3.54496333e+19  2.73665227e+06  3.15015073e-20  10000.0
86  3.92804460e+19  2.59978411e+06  2.70074972e-20  10000.0
87  4.35252300e+19  2.46976114e+06  2.31546032e-20  10000.0
88  4.82287203e+19  2.34624101e+06  1.98513637e-20  10000.0
