# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# M_bh=1.989e+39 g, Γ₀=1.375, Ṁ=10.0 M☉/yr
# L_o=2.022e+44 erg/s,  κ_es=0.34 cm²/g
# Inner BVP radius R_Edd = 1.6000e+15 cm; τ_es(R_Edd) ≈ 1338.8
# r_in  (τ_es=100)  = 9.4292e+15 cm
# r_ph  (τ_es=1)    = 7.4400e+17 cm
# r_out (=10×r_ph)  = 7.4400e+18 cm
# n_cells=100, T_core=7517 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
85  2.55879501e+18  2.29363975e+07  3.57016709e-19  10000.0
86  2.73530944e+18  2.29391277e+07  3.12388410e-19  10000.0
87  2.92400043e+18  2.29418583e+07  2.73338800e-19  10000.0
88  3.12570797e+18  2.29445891e+07  2.39170523e-19  10000.0
89  3.34132999e+18  2.29465460e+07  2.09275301e-19  10000.0
90  3.57182635e+18  2.29481463e+07  1.83124205e-19  10000.0
91  3.81822314e+18  2.29497466e+07  1.60240957e-19  10000.0
92  4.08161722e+18  2.29513471e+07  1.40217206e-19  10000.0
93  4.36318112e+18  2.29529477e+07  1.22695628e-19  10000.0
94  4.66416827e+18  2.29545483e+07  1.07363550e-19  10000.0
95  4.98591853e+18  2.29561491e+07  9.39473733e-20  10000.0
96  5.32986423e+18  2.29577500e+07  8.22076852e-20  10000.0
97  5.69753648e+18  2.29593511e+07  7.19349917e-20  10000.0
98  6.09057202e+18  2.29609522e+07  6.29459765e-20  10000.0
99  6.51072049e+18  2.29620969e+07  5.50802310e-20  10000.0
100  6.95985224e+18  2.29623007e+07  4.81998161e-20  10000.0
101  7.43996663e+18  2.29625045e+07  4.21793216e-20  10000.0
